Fe,Mn,Ni,Co,Cr,V,Al,D1,D10,D16,D21,SFE
0.464134624,0.022390011,0.302540232,0.075078263,0.063227012,0.045172271,0.027457586,-3.014341663,25.25932986,222.8266596,0.008825324,107.3531
0.083158975,0.022860837,0.284851335,0.41317676,0.138922543,0.03179847,0.02523108,-0.714431893,25.00920307,200.8289745,0.011153959,-25.47169
0.171697812,0.028858627,0.439527386,0.180348734,0.096431243,0.043966049,0.039170148,-0.619250779,25.30243054,199.442305,0.011962435,39.9666
0.200270633,0.012735615,0.169446713,0.478007735,0.097772237,0.025870359,0.015896709,-2.034758559,24.94585599,205.9539844,0.007833866,-70.37501
0.069149225,0.024815925,0.398875393,0.293083875,0.159813354,0.039889343,0.014372885,-0.137392018,25.13215184,203.3330335,0.012139198,16.77727
0.030328106,0.023376584,0.283583841,0.547625971,0.065279104,0.030246913,0.019559481,-0.660272352,25.10619265,184.3794745,0.008572645,-47.94857
0.071185334,0.018785099,0.418480986,0.376560117,0.054795874,0.032597357,0.027595232,-0.321144217,25.29806732,183.5559805,0.008683468,21.61942
0.110252919,0.011568327,0.016325549,0.733742307,0.074132839,0.043077504,0.010900555,-2.194398545,24.75821974,198.0830296,0.007114871,-146.64508
0.35103238,0.02750127,0.205947377,0.280019279,0.107199938,0.024381211,0.003918546,-2.803718699,25.0535803,222.2338012,0.008435789,4.61517
0.254403093,0.013892386,0.366303723,0.136133243,0.156490018,0.044849546,0.027927992,-1.260891353,25.12634748,218.2498472,0.011351919,17.36993
0.028041556,0.028256307,0.101784207,0.67968748,0.131363803,0.015144609,0.015722038,-1.266056171,24.77815193,197.0201588,0.009699963,-153.20215
0.296202361,0.014000002,0.178410483,0.398596355,0.059447545,0.029337831,0.024005422,-2.615800979,25.04115355,207.5550672,0.007207826,1.35555
0.098502848,0.014780546,0.531657144,0.046045155,0.251058939,0.038021494,0.019933874,0.537354882,25.15812938,218.0148257,0.014222517,39.63244
0.154352652,0.026464834,0.223374159,0.346669612,0.215471581,0.016243326,0.017423836,-1.237175265,24.84435211,220.3562144,0.011837878,-56.7754
0.513389504,0.003501605,0.245712093,0.143245018,0.029368299,0.039071999,0.025711481,-3.635422181,25.22312284,221.0909583,0.005806861,134.02272
0.313925995,0.017216851,0.258268786,0.168297374,0.179012143,0.037459889,0.025818963,-2.016348865,24.97548889,228.5401629,0.010970582,-13.90225
0.045295748,0.012569225,0.240692884,0.477017966,0.182878592,0.035433711,0.006111874,-0.623300055,24.87090167,207.0840405,0.010716757,-77.29146
0.202865714,0.025391378,0.365390642,0.296459966,0.054368812,0.03207734,0.023446148,-1.329041122,25.28154144,196.6484077,0.008799356,10.2202
0.149949122,0.022680445,0.274299451,0.410165549,0.080462946,0.048883453,0.013559034,-1.32607218,25.1116532,199.8442244,0.009402672,-27.37577
0.168495013,0.010417674,0.059385564,0.527824384,0.192196767,0.02815616,0.013524436,-2.034391311,24.64978205,220.6591915,0.009681258,-135.87005
0.007229544,0.027796477,0.164107525,0.694154097,0.054838311,0.030791306,0.02108274,-1.045278218,24.96537538,182.3786859,0.008404424,-108.84736
0.103261933,0.028010424,0.29018623,0.538863924,0.013553766,0.019801307,0.006322417,-1.299019006,25.22809235,182.8488219,0.005688825,-29.65813
0.02529435,0.027496504,0.223392132,0.622837906,0.055418621,0.03864806,0.006912428,-0.952055987,25.05583225,185.3305139,0.008111919,-85.14733
0.585251719,0.031141104,0.133960775,0.089334817,0.12788355,0.018938927,0.013489108,-4.362872278,24.99841128,246.2775136,0.008143026,-170.15596
0.009633686,0.01442455,0.277378352,0.594288697,0.045795442,0.032380759,0.026098515,-0.576777493,25.10400459,178.4722658,0.00749738,-41.44194
0.217792138,0.01695154,0.26469491,0.253371554,0.178748961,0.046994622,0.021446274,-1.432809777,24.95857659,221.0945862,0.011502741,-16.78988
0.091217163,0.014511506,0.337149196,0.441602307,0.058567105,0.025706482,0.031246241,-0.756213334,25.18339861,185.9320868,0.008102849,-4.46385
0.034255727,0.022671796,0.152504023,0.668995221,0.099740419,0.015263593,0.006569221,-1.222957703,24.89051384,192.2599496,0.007918418,-127.44674
0.058793815,0.01547936,0.444382718,0.230357654,0.204670555,0.024277627,0.02203827,0.247216997,25.10075369,206.6446206,0.012583151,11.84055
0.363556977,0.023727073,0.140508239,0.217340829,0.212932097,0.039437096,0.002497689,-2.804058049,24.81036536,243.0643587,0.010303955,-120.36637
0.205432247,0.011620113,0.115839067,0.565680681,0.049831384,0.032589395,0.019007113,-2.391308908,24.94675823,199.4167151,0.006501417,-52.457
0.059221112,0.01481307,0.54818408,0.086432273,0.246173361,0.032629773,0.01254633,0.768557277,25.17910038,213.7530608,0.013862138,43.579
0.046321472,0.014740861,0.465495453,0.318867166,0.088405559,0.043710569,0.02245892,0.120758622,25.29943919,187.5312574,0.009908518,27.439
0.352766038,0.01241352,0.302436589,0.167426883,0.127321243,0.029837513,0.007798214,-2.30991759,25.12494062,223.7042722,0.008577843,6.86
0.479664397,0.027415792,0.222482843,0.233761727,0.004206728,0.024339757,0.008128755,-3.756119494,25.26549733,215.9248216,0.005437808,99.667
0.252436918,0.015026348,0.458265323,0.01295407,0.204010504,0.031255519,0.026051317,-0.777352016,25.17549452,223.7510752,0.012366412,39.544
0.074726911,0.013722099,0.424770256,0.386787063,0.042407056,0.03359267,0.023993945,-0.361352678,25.32055487,181.9191629,0.00757547,7.667
0.349149656,0.032105798,0.338022017,0.147819321,0.062974216,0.041684858,0.028244134,-2.220318042,25.2850929,212.1615053,0.009904314,62.544
0.096208843,0.014591655,0.347910994,0.462271711,0.032519084,0.015145701,0.031352012,-0.842398969,25.23695916,180.9869129,0.006603027,-15.333
0.080373639,0.029990098,0.286395158,0.402497276,0.157979276,0.017623237,0.025141317,-0.680163315,24.99111956,202.869253,0.011676146,-37.527
0.547092171,0.014426287,0.134543646,0.155595135,0.08764811,0.031775759,0.028918891,-4.132894956,25.0150279,234.919319,0.007412857,6.456
0.035336113,0.016513945,0.226093508,0.489783908,0.178767508,0.029720716,0.023784303,-0.57079034,24.84984354,203.6582598,0.011459458,-65.772
0.460595656,0.004565762,0.35951156,0.00149088,0.124383582,0.043042407,0.006410153,-2.670901991,25.22627514,232.896446,0.008276181,62.141
0.163696479,0.014588301,0.242312637,0.318544399,0.215922969,0.03329039,0.011644826,-1.184651336,24.85845551,222.4477285,0.011410213,-48.018
0.390947304,0.026107739,0.301281186,0.081434133,0.137429895,0.03670963,0.026090113,-2.413786242,25.12998339,228.2431399,0.010638741,19.369
0.189245896,0.013247673,0.223179968,0.477418512,0.049783464,0.041126655,0.005997833,-1.89891925,25.09261801,198.5819129,0.006634302,-25.018
0.349875384,0.017248658,0.238761868,0.247088233,0.084969728,0.035738856,0.026317272,-2.578825976,25.10155496,216.2054652,0.008656454,25.018
0.380451078,0.023269494,0.138460534,0.306504805,0.137126489,0.012115848,0.002071752,-3.200254169,24.92331706,229.6829581,0.007984862,-52.053
0.026740607,0.013307418,0.344447649,0.447788634,0.115038535,0.044134323,0.008542834,-0.252564993,25.10249518,193.260683,0.009616093,-33.491
0.159597775,0.008850129,0.266305896,0.440115035,0.08025932,0.043246536,0.001625309,-1.473126208,25.09031268,200.7981442,0.007295959,-43.176
0.199747178,0.016207865,0.493929106,0.215262582,0.004878326,0.064884072,0.005090871,-0.9217905,25.52246018,190.5536298,0.007003295,40.755
0.341069654,0.015529637,0.199518645,0.17348881,0.234328257,0.030124076,0.00594092,-2.367576647,24.83294506,242.2334893,0.010470221,-86.352
0.275484884,0.014099984,0.343005694,0.271510843,0.085842818,0.005554977,0.0045008,-1.896019719,25.21879363,207.69863,0.006485266,6.86
0.197035518,0.018126121,0.401549822,0.257705708,0.057103124,0.046520734,0.021958973,-1.101885577,25.31413661,197.1047741,0.008950265,18.965
0.675937359,0.023611641,0.166803255,0.034859461,0.052366837,0.03049664,0.015924808,-4.921221591,25.16998742,241.7268865,0.006409286,-136.387
0.119948719,0.027449934,0.186092613,0.524822036,0.084547529,0.047717077,0.009422091,-1.532363687,24.99137707,199.6389855,0.009407709,-75.457
0.102900132,0.033230527,0.283902882,0.532388192,0.017084113,0.02238446,0.008109692,-1.302745348,25.22153604,183.7950549,0.006582392,-32.281
0.249536286,0.014602118,0.400844544,0.1560784,0.152762268,0.018696894,0.007479491,-1.266911524,25.18610056,216.545532,0.009605509,10.088
0.027867609,0.015756257,0.352771065,0.370049466,0.154405459,0.049035948,0.030114195,0.003648428,25.04582394,198.1662134,0.012299296,-5.246
0.140361768,0.005133806,0.083358934,0.517765907,0.211449347,0.033927821,0.008002416,-1.724252166,24.63959317,221.8000052,0.009906883,-115.001
0.254403093,0.013892386,0.366303723,0.136133243,0.156490018,0.044849546,0.027927992,-1.260891353,25.12634748,218.2498472,0.011351919,23.80721
0.202865714,0.025391378,0.365390642,0.296459966,0.054368812,0.03207734,0.023446148,-1.329041122,25.28154144,196.6484077,0.008799356,16.54399
0.030328106,0.023376584,0.283583841,0.547625971,0.065279104,0.030246913,0.019559481,-0.660272352,25.10619265,184.3794745,0.008572645,-53.26358
0.248023982,0.011453225,0.48832582,0.151769452,0.029817041,0.02427364,0.046336839,-1.048968994,25.4563103,191.2137121,0.007933718,62.94787
0.056531289,0.013997349,0.364109494,0.427461175,0.088936661,0.043068112,0.005895919,-0.43534751,25.17866202,191.5113707,0.008610188,-23.4037
0.076199064,0.029571481,0.642181842,0.147779475,0.046649706,0.039611255,0.018007177,0.508216926,25.6252356,181.6194464,0.009661389,89.17615
0.223744039,0.012219722,0.527494894,0.053627052,0.105110068,0.04387579,0.033928434,-0.540588448,25.39756157,203.9680229,0.010848868,58.50924
0.508249602,0.015493889,0.2529149,0.136166335,0.047250004,0.015749806,0.024175464,-3.602670814,25.22069978,222.248538,0.006300935,119.43955
0.500927338,0.012087996,0.168143498,0.161534379,0.127428539,0.021277737,0.008600512,-3.735140148,24.9928214,237.9558956,0.007284262,-50.439
0.159597775,0.008850129,0.266305896,0.440115035,0.08025932,0.043246536,0.001625309,-1.473126208,25.09031268,200.7981442,0.007295959,-43.57929
0.200270633,0.012735615,0.169446713,0.478007735,0.097772237,0.025870359,0.015896709,-2.034758559,24.94585599,205.9539844,0.007833866,-60.5268
0.067106049,0.008242123,0.730597263,0.050296985,0.075587559,0.035487619,0.032682403,1.091267404,25.65282942,181.4874125,0.009640221,113.38687
0.307130443,0.032210579,0.230642676,0.310037306,0.090521874,0.021177613,0.008279508,-2.488795784,25.10165773,214.736096,0.00862826,-4.84214
0.071185334,0.018785099,0.418480986,0.376560117,0.054795874,0.032597357,0.027595232,-0.321144217,25.29806732,183.5559805,0.008683468,14.52643
0.270538501,0.020484723,0.360193207,0.223578884,0.053183401,0.026993765,0.045027519,-1.647716213,25.27604757,199.7066143,0.009168007,48.82495
0.205060741,0.003505517,0.460426992,0.119136982,0.128050944,0.044688389,0.039130436,-0.606463109,25.25424575,206.1663184,0.010895306,41.56173
0.163546276,0.014853163,0.428293751,0.208312651,0.104177224,0.04270051,0.038116425,-0.590039253,25.25325986,199.4561847,0.010955301,24.61423
0.261814254,0.014486791,0.535163994,0.070864325,0.045990812,0.020886952,0.050792871,-0.878723147,25.49861441,193.8849778,0.008995014,77.87781
0.132225973,0.02782097,0.187775204,0.548079972,0.049553889,0.048195069,0.006348924,-1.711800769,25.05218633,195.2661363,0.008190006,-56.08817
0.165652207,0.025893004,0.33610982,0.400168982,0.029227214,0.033624621,0.009324152,-1.372829779,25.27940508,191.1431789,0.007151546,-8.47375
0.253845935,0.035102637,0.136922796,0.415806086,0.124079449,0.025017103,0.009225994,-2.458846503,24.91765431,217.2565609,0.009662406,-76.66728
0.414459565,0.022822075,0.420346947,0.019158799,0.064163034,0.024633933,0.034415646,-2.258158749,25.39059147,214.4711651,0.009009814,85.54454
0.007229544,0.027796477,0.164107525,0.694154097,0.054838311,0.030791306,0.02108274,-1.045278218,24.96537538,182.3786859,0.008404424,-110.15877
0.217792138,0.01695154,0.26469491,0.253371554,0.178748961,0.046994622,0.021446274,-1.432809777,24.95857659,221.0945862,0.011502741,-22.59667
0.464134624,0.022390011,0.302540232,0.075078263,0.063227012,0.045172271,0.027457586,-3.014341663,25.25932986,222.8266596,0.008825324,98.05341
0.090367274,0.009117212,0.245352654,0.372027881,0.227387971,0.034358941,0.021388067,-0.660337901,24.80926555,216.6260762,0.011984282,-36.71959
0.02529435,0.027496504,0.223392132,0.622837906,0.055418621,0.03864806,0.006912428,-0.952055987,25.05583225,185.3305139,0.008111919,-80.7024
0.035326524,0.012395883,0.337024252,0.500962107,0.070215628,0.029542197,0.014533408,-0.469524572,25.15623404,184.7885977,0.007539463,-36.31608
0.089275285,0.008778413,0.394700901,0.291627535,0.134718696,0.043375972,0.037523199,-0.206300714,25.13280701,198.1999256,0.01137296,12.91238
0.349149656,0.032105798,0.338022017,0.147819321,0.062974216,0.041684858,0.028244134,-2.220318042,25.2850929,212.1615053,0.009904314,64.56192
0.133960569,0.006704698,0.534404007,0.065166715,0.213258167,0.039999225,0.006506619,0.182692001,25.22517913,215.9661966,0.012184393,43.17578
0.070360406,0.014195424,0.521154029,0.220756849,0.064059458,0.058469087,0.051004746,0.316673225,25.39905637,183.2374278,0.011435394,61.33382
0.081395261,0.01612097,0.038193423,0.585717286,0.216169532,0.04296742,0.01943611,-1.48949683,24.56663226,218.1512481,0.011404481,-143.24676
0.085987709,0.014753648,0.458946467,0.224177596,0.137152717,0.043679157,0.035302707,0.068341097,25.22201441,197.9588258,0.012058116,33.4915
0.465728753,0.024145432,0.335792736,0.033794105,0.093719671,0.020696104,0.026123199,-2.868039662,25.25828352,225.6810427,0.008911055,85.94805
0.110046072,0.026381236,0.539400217,0.237586361,0.044040673,0.033620119,0.008925321,-0.173906595,25.50575177,185.871109,0.008173616,56.088
0.171697812,0.028858627,0.439527386,0.180348734,0.096431243,0.043966049,0.039170148,-0.619250779,25.30243054,199.442305,0.011962435,38.334
0.264453194,0.029782994,0.219803491,0.26345343,0.19179521,0.022250763,0.008460919,-1.987454321,24.9192107,227.8537136,0.010970565,-59.72
0.014907832,0.018581264,0.423114335,0.39192532,0.08164856,0.033359162,0.036463527,0.145589363,25.24137784,182.1084558,0.010216507,19.772
0.135233539,0.002403456,0.619119136,0.062078985,0.103127659,0.043435965,0.034601259,0.354020734,25.47792148,193.8828484,0.010369847,81.106
0.267035397,0.036267111,0.275389911,0.328507466,0.039383541,0.035667322,0.017749251,-2.143179966,25.22636004,202.5541796,0.008739358,18.158
0.522928765,0.032718878,0.23120007,0.074822681,0.102874579,0.020403856,0.015051171,-3.665526277,25.14521485,235.2665976,0.008610249,-20.176
0.217521316,0.012498893,0.537888462,0.050518969,0.084271073,0.063143828,0.034157458,-0.472915744,25.44267303,201.4575249,0.011105529,64.158
0.009633686,0.01442455,0.277378352,0.594288697,0.045795442,0.032380759,0.026098515,-0.576777493,25.10400459,178.4722658,0.00749738,-48.825
0.115261498,0.00874684,0.266149753,0.474368336,0.086187353,0.042082839,0.00720338,-1.1765872,25.06429861,197.1754056,0.007777102,-56.492
0.009478326,0.024302247,0.348753916,0.557256923,0.027051239,0.00620933,0.026948019,-0.408087582,25.23655222,172.5058347,0.006481851,-27.842
0.186571997,0.012539445,0.101974474,0.561565964,0.08225568,0.041433654,0.013658786,-2.250113019,24.87991216,204.6560959,0.007679761,-84.334
0.135464693,0.009354794,0.465214206,0.110440585,0.227384915,0.032304267,0.01983654,-0.02765878,25.1097012,217.5515073,0.012722952,29.86
0.053516234,0.017020502,0.457905479,0.221321725,0.21363205,0.001007175,0.035596836,0.364780701,25.09515729,204.1931469,0.012753438,25.825
0.485482341,0.024273967,0.36173837,0.019156128,0.056585682,0.019418686,0.033344827,-2.951207939,25.34937198,220.086037,0.008286946,111.773
0.055121407,0.012511066,0.448102547,0.268928838,0.139931247,0.043788044,0.031616851,0.194542734,25.19334816,196.0905966,0.011807273,25.421
0.078443174,0.01926452,0.383442255,0.409659128,0.069552951,0.030531661,0.00910631,-0.559766948,25.24416462,188.8373586,0.007993391,-8.877
0.106824639,0.007697795,0.252549083,0.402218271,0.174139575,0.034433568,0.02213707,-0.874806919,24.90085964,209.0113447,0.01069653,-48.421
0.222595384,0.029732021,0.363752298,0.299840532,0.020909965,0.029772812,0.033396988,-1.508734753,25.33582878,191.8968753,0.008462618,40.351
0.111072795,0.032989237,0.251786064,0.311059228,0.274908035,0.010972022,0.00721262,-0.767388589,24.79453515,226.8670014,0.013129525,-58.913
0.04024438,0.014700158,0.520662046,0.246582303,0.138076249,0.003410383,0.036324483,0.492749176,25.28241618,189.608991,0.010672125,49.228
0.417439783,0.033830687,0.175975283,0.251668681,0.086865027,0.021974722,0.012245817,-3.341562051,25.06929827,224.4648599,0.008368042,-27.842
0.090348444,0.026061017,0.466033155,0.337417141,0.034503829,0.03710615,0.008530263,-0.382981084,25.41887587,183.8853364,0.007759171,25.018
0.347520188,0.028493586,0.065361029,0.390307515,0.138821877,0.021260815,0.00823499,-3.258949454,24.82091805,228.4882843,0.008722589,-109.755
0.12548006,0.028004244,0.384338993,0.324646369,0.094331497,0.028236877,0.01496196,-0.741973466,25.23164034,196.7783956,0.009846145,0.404
0.042993849,0.018641303,0.361632208,0.37416382,0.133541213,0.032068896,0.036958711,-0.120200644,25.09170182,193.9255621,0.011615478,-4.035
0.37598325,0.023299169,0.270568663,0.224512641,0.058866689,0.028580383,0.018189205,-2.737673898,25.20312747,214.2503692,0.007800541,52.86
0.405000035,0.013849748,0.275561215,0.10504813,0.129713161,0.033011831,0.037815881,-2.563277893,25.08654612,226.4694475,0.009827801,52.05305
0.154842836,0.021300605,0.252558946,0.452098682,0.074245506,0.033872628,0.011080797,-1.510324876,25.09210091,198.4399377,0.008228159,-38.33364
0.032288076,0.000803503,0.123745471,0.734533863,0.048872827,0.034549202,0.025207059,-1.316493079,24.88678223,182.7447921,0.006048429,-127.50979
0.314734456,0.018766853,0.433983712,0.116783374,0.064519859,0.018727234,0.032484512,-1.645621849,25.37235167,204.9463248,0.008546032,68.19352
0.483147178,0.029451546,0.29170175,0.08006387,0.04923755,0.039336321,0.027061786,-3.233093115,25.28217398,222.2390299,0.008672661,43.57929
0.114356693,0.0070209,0.5087537,0.266555285,0.010160145,0.039047786,0.054105491,-0.171198775,25.46241943,176.0403834,0.008009376,58.91276
0.219118513,0.013879323,0.414123463,0.185135999,0.12532258,0.002114393,0.040305729,-0.998438581,25.21295917,204.3525985,0.009796068,25.82477
0.16171226,0.012267619,0.52121771,0.03876068,0.195738193,0.041267219,0.02903632,0.023994192,25.23759577,213.846613,0.013047814,52.86007
0.58365246,0.018613911,0.120106644,0.1951854,0.023732473,0.041117746,0.017591367,-4.6242384,25.11711349,229.9108514,0.005894087,27.0353
0.205060741,0.003505517,0.460426992,0.119136982,0.128050944,0.044688389,0.039130436,-0.606463109,25.25424575,206.1663184,0.010895306,41.56174
0.134239582,0.008338211,0.432407391,0.163581582,0.216093522,0.044521563,0.00081815,-0.248723516,25.09472978,218.9290939,0.011866662,10.0878
0.016506159,0.013268661,0.423718139,0.359915574,0.134743047,0.041836546,0.010011874,0.191584563,25.17175038,194.1645286,0.010487817,5.64917
0.163696479,0.014588301,0.242312637,0.318544399,0.215922969,0.03329039,0.011644826,-1.184651336,24.85845551,222.4477285,0.011410213,-47.2109
0.250904523,0.01627364,0.405775362,0.219523843,0.026748467,0.044829651,0.035944515,-1.418010992,25.36998334,195.1644735,0.008422683,47.61442
0.003584758,0.009795423,0.686472043,0.179994813,0.048597561,0.044045855,0.027509547,1.192664121,25.62318473,173.30239,0.008661186,117.42199
0.508249602,0.015493889,0.2529149,0.136166335,0.047250004,0.015749806,0.024175464,-3.602670814,25.22069978,222.248538,0.006300935,116.21145
0.114697092,0.016392577,0.602034218,0.123707544,0.093540944,0.030204556,0.01942307,0.253250204,25.49269767,191.7822725,0.009744821,73.84269
0.186898725,0.018463598,0.614649572,0.102924395,0.017381312,0.037032254,0.022650145,-0.301528492,25.64685063,185.7571295,0.007575776,77.07079
0.169080004,0.021740933,0.521088417,0.162079932,0.060794727,0.014470984,0.050745004,-0.382505691,25.44055835,188.1018581,0.009863628,62.54436
0.103261933,0.028010424,0.29018623,0.538863924,0.013553766,0.019801307,0.006322417,-1.299019006,25.22809235,182.8488219,0.005688825,-37.93013
0.127352627,0.003622367,0.427614244,0.192629532,0.157491508,0.043775143,0.047514579,-0.169739491,25.13916936,203.6856975,0.012094558,28.64935
0.019993498,0.007172335,0.681354122,0.095227241,0.143173125,0.024326082,0.028753597,1.310171916,25.47293767,188.5825025,0.01119123,98.86044
0.2073876,0.013474476,0.38740833,0.221877315,0.080635962,0.049384687,0.03983163,-1.053169308,25.24614437,200.3569934,0.010288534,29.45638
0.216977482,0.008116927,0.392817993,0.141780149,0.211161442,0.027724173,0.001421834,-0.942714431,25.07310918,224.5122852,0.010754805,-3.228
0.622481204,0.029665874,0.157477233,0.089843039,0.050334879,0.022474343,0.027723428,-4.626381654,25.14607463,235.1954802,0.007146256,21.386
0.137888733,0.018571179,0.346467335,0.326161037,0.080261769,0.051161037,0.039488911,-0.8243039,25.18066103,195.1245252,0.010726841,4.035
0.156611653,0.003388286,0.463421684,0.096659813,0.190178834,0.053016327,0.036723403,-0.124946918,25.15251345,213.0766981,0.012766325,39.544
0.235088167,0.010049164,0.411002727,0.131650625,0.117033612,0.057003971,0.038171734,-0.995578961,25.22715068,209.1840146,0.011248067,40.755
0.09589669,0.012213292,0.033978624,0.738679847,0.05597797,0.032085017,0.031168559,-2.021743347,24.79180157,190.6045679,0.007250714,-123.878
0.251710365,0.01711277,0.515364772,0.117886968,0.023981492,0.046700576,0.027243057,-1.017432797,25.52350845,194.3156257,0.008288949,69.001
0.031625632,0.014024473,0.653653834,0.041832478,0.190745064,0.040895478,0.027223041,1.294245746,25.38191251,199.8231389,0.013838514,78.685
0.316358977,0.014671466,0.313532342,0.205875294,0.104256902,0.034172737,0.011132281,-2.096262391,25.16485949,216.6323425,0.008572118,20.983
0.413404489,0.014847376,0.417941504,0.006647159,0.126333784,0.002316903,0.018508785,-2.20678014,25.28924211,224.0039706,0.008482077,57.702
0.113868986,0.025683568,0.534690501,0.215937704,0.030647815,0.030408303,0.048763122,-0.068775325,25.49559493,179.7591903,0.009844184,53.264
0.518978242,0.013888016,0.167544764,0.209128332,0.03444553,0.034503501,0.021511615,-4.017428729,25.13320878,224.0719352,0.006094544,123.878
0.164281364,0.028346746,0.245702615,0.473819247,0.02387528,0.039007574,0.024967174,-1.666143857,25.16432546,190.4197725,0.008112085,-22.193
0.176886465,0.012899495,0.55731622,0.040158691,0.15024479,0.033572953,0.028921386,-0.067356321,25.35756355,206.5212136,0.011744297,59.316
0.179097619,0.005006471,0.453568158,0.199025036,0.07211894,0.043828946,0.04735483,-0.611007804,25.31866918,193.8456078,0.009742961,46.807
0.362139789,0.019534779,0.329897309,0.20062107,0.026585384,0.040919367,0.020302302,-2.461817584,25.31884309,207.490627,0.007342169,54.071
0.073386253,0.014714563,0.34391611,0.338789052,0.144749946,0.047072223,0.037371853,-0.292236547,25.05633785,199.791796,0.012072965,-5.649
0.062383209,0.00670024,0.541646251,0.275923109,0.020299031,0.035872542,0.057175617,0.300793178,25.47173879,172.0411861,0.008443424,66.983
0.115675347,0.013282977,0.417608318,0.220856604,0.168630636,0.030901209,0.033044908,-0.223611871,25.12783511,205.4584371,0.011973149,22.193
