Fe,Mn,Ni,Co,Cr,V,Al,SFE,VEC
0.254403093,0.013892386,0.366303723,0.136133243,0.156490018,0.044849546,0.027927992,17.36993,8.267679677
0.132225973,0.02782097,0.187775204,0.548079972,0.049553889,0.048195069,0.006348924,-48.13141,8.620371813
0.028041556,0.028256307,0.101784207,0.67968748,0.131363803,0.015144609,0.015722038,-153.20215,8.468227964
0.296202361,0.014000002,0.178410483,0.398596355,0.059447545,0.029337831,0.024005422,1.35555,8.414481618
0.098502848,0.014780546,0.531657144,0.046045155,0.251058939,0.038021494,0.019933874,39.63244,8.378727167
0.154352652,0.026464834,0.223374159,0.346669612,0.215471581,0.016243326,0.017423836,-56.7754,8.200160776
0.513389504,0.003501605,0.245712093,0.143245018,0.029368299,0.039071999,0.025711481,134.02272,8.326657591
0.115765815,0.01510676,0.52674916,0.221256305,0.051389449,0.065140244,0.004592268,43.61712,8.938486903
0.313925995,0.017216851,0.258268786,0.168297374,0.179012143,0.037459889,0.025818963,-13.90225,8.068119335
0.056531289,0.013997349,0.364109494,0.427461175,0.088936661,0.043068112,0.005895919,-24.74663,8.805125553
0.500927338,0.012087996,0.168143498,0.161534379,0.127428539,0.021277737,0.008600512,-47.82878,8.124040522
0.045295748,0.012569225,0.240692884,0.477017966,0.182878592,0.035433711,0.006111874,-77.29146,8.443216822
0.202865714,0.025391378,0.365390642,0.296459966,0.054368812,0.03207734,0.023446148,10.2202,8.679649488
0.347520188,0.028493586,0.065361029,0.390307515,0.138821877,0.021260815,0.00823499,-106.24975,8.109934838
0.149949122,0.022680445,0.274299451,0.410165549,0.080462946,0.048883453,0.013559034,-27.37577,8.560712585
0.168495013,0.010417674,0.059385564,0.527824384,0.192196767,0.02815616,0.013524436,-135.87005,8.099693628
0.007229544,0.027796477,0.164107525,0.694154097,0.054838311,0.030791306,0.02108274,-108.84736,8.68710843
0.256800939,0.010845661,0.083036005,0.560350159,0.049223672,0.033695284,0.00604828,-27.22445,8.485801912
0.103261933,0.028010424,0.29018623,0.538863924,0.013553766,0.019801307,0.006322417,-29.65813,8.97310243
0.077731069,0.024005647,0.60820121,0.147971378,0.08069347,0.043035261,0.018361966,77.49322,8.958065606
0.02529435,0.027496504,0.223392132,0.622837906,0.055418621,0.03864806,0.006912428,-85.14733,8.780782112
0.585251719,0.031141104,0.133960775,0.089334817,0.12788355,0.018938927,0.013489108,-170.15596,7.946085842
0.009633686,0.01442455,0.277378352,0.594288697,0.045795442,0.032380759,0.026098515,-41.44194,8.815395123
0.217792138,0.01695154,0.26469491,0.253371554,0.178748961,0.046994622,0.021446274,-16.78988,8.160096668
0.091217163,0.014511506,0.337149196,0.441602307,0.058567105,0.025706482,0.031246241,-4.46385,8.750904332
0.034255727,0.022671796,0.152504023,0.668995221,0.099740419,0.015263593,0.006569221,-127.44674,8.673213749
0.336719021,0.023758279,0.361880935,0.156577287,0.047680377,0.036925265,0.036458836,59.85218,8.468150149
0.058793815,0.01547936,0.444382718,0.230357654,0.204670555,0.024277627,0.02203827,11.84055,8.511278381
0.363556977,0.023727073,0.140508239,0.217340829,0.212932097,0.039437096,0.002497689,-120.36637,7.917966307
0.088969711,0.025354784,0.391233679,0.381956811,0.061547933,0.030592228,0.020344855,-2.825,8.822472568
0.032874607,0.012004543,0.081539388,0.705818035,0.095522228,0.040665516,0.031575683,-133.159,8.385972849
0.205432247,0.011620113,0.115839067,0.565680681,0.049831384,0.032589395,0.019007113,-52.457,8.493272184
0.059221112,0.01481307,0.54818408,0.086432273,0.246173361,0.032629773,0.01254633,43.579,8.515019664
0.046321472,0.014740861,0.465495453,0.318867166,0.088405559,0.043710569,0.02245892,27.439,8.814879786
0.352766038,0.01241352,0.302436589,0.167426883,0.127321243,0.029837513,0.007798214,6.86,8.376740446
0.479664397,0.027415792,0.222482843,0.233761727,0.004206728,0.024339757,0.008128755,99.667,8.529235111
0.252436918,0.015026348,0.458265323,0.01295407,0.204010504,0.031255519,0.026051317,39.544,8.28241421
0.074726911,0.013722099,0.424770256,0.386787063,0.042407056,0.03359267,0.023993945,7.667,8.917043629
0.185651939,0.028299183,0.540253302,0.122598896,0.074764982,0.030290082,0.018141616,60.123,8.843698027
0.349149656,0.032105798,0.338022017,0.147819321,0.062974216,0.041684858,0.028244134,62.544,8.399533881
0.246084522,0.012240791,0.253061633,0.335056613,0.104501048,0.03258446,0.016470933,-28.246,8.439828947
0.096208843,0.014591655,0.347910994,0.462271711,0.032519084,0.015145701,0.031352012,-15.333,8.876266713
0.080373639,0.029990098,0.286395158,0.402497276,0.157979276,0.017623237,0.025141317,-37.527,8.450762654
0.547092171,0.014426287,0.134543646,0.155595135,0.08764811,0.031775759,0.028918891,6.456,7.99503818
0.035336113,0.016513945,0.226093508,0.489783908,0.178767508,0.029720716,0.023784303,-65.772,8.359838308
0.460595656,0.004565762,0.35951156,0.00149088,0.124383582,0.043042407,0.006410153,62.141,8.306003088
0.062773398,0.00150408,0.43704788,0.248187749,0.179230029,0.048277744,0.02297912,18.158,8.502590539
0.12660228,0.023180318,0.294870406,0.400138456,0.086767508,0.030728404,0.037712628,-16.544,8.512415582
0.163696479,0.014588301,0.242312637,0.318544399,0.215922969,0.03329039,0.011644826,-48.018,8.198640142
0.390947304,0.026107739,0.301281186,0.081434133,0.137429895,0.03670963,0.026090113,19.369,8.142449521
0.189245896,0.013247673,0.223179968,0.477418512,0.049783464,0.041126655,0.005997833,-25.018,8.657594725
0.349875384,0.017248658,0.238761868,0.247088233,0.084969728,0.035738856,0.026317272,25.018,8.298620919
0.380451078,0.023269494,0.138460534,0.306504805,0.137126489,0.012115848,0.002071752,-52.053,8.239197097
0.026740607,0.013307418,0.344447649,0.447788634,0.115038535,0.044134323,0.008542834,-33.491,8.718182305
0.094889078,0.015849539,0.681783737,0.121465336,0.011403639,0.043367792,0.031240879,103.299,9.160068222
0.159597775,0.008850129,0.266305896,0.440115035,0.08025932,0.043246536,0.001625309,-43.176,8.665491905
0.199747178,0.016207865,0.493929106,0.215262582,0.004878326,0.064884072,0.005090871,40.755,8.957049706
0.341069654,0.015529637,0.199518645,0.17348881,0.234328257,0.030124076,0.00594092,-86.352,7.968263113
0.275484884,0.014099984,0.343005694,0.271510843,0.085842818,0.005554977,0.0045008,6.86,8.73256768
0.302545073,0.019356253,0.150827475,0.41620661,0.082881835,0.019467638,0.008715116,-15.333,8.430763143
0.197035518,0.018126121,0.401549822,0.257705708,0.057103124,0.046520734,0.021958973,18.965,8.679115916
0.414459565,0.022822075,0.420346947,0.019158799,0.064163034,0.024633933,0.034415646,85.545,8.462724513
0.675937359,0.023611641,0.166803255,0.034859461,0.052366837,0.03049664,0.015924808,-136.387,8.069006704
0.119948719,0.027449934,0.186092613,0.524822036,0.084547529,0.047717077,0.009422091,-75.457,8.510200576
0.102900132,0.033230527,0.283902882,0.532388192,0.017084113,0.02238446,0.008109692,-32.281,8.925093347
0.249536286,0.014602118,0.400844544,0.1560784,0.152762268,0.018696894,0.007479491,10.088,8.544152705
0.027867609,0.015756257,0.352771065,0.370049466,0.154405459,0.049035948,0.030114195,-5.246,8.453345594
0.062518223,0.005494022,0.241539982,0.593411418,0.050622591,0.033339651,0.013074113,-77.878,8.80436266
0.140361768,0.005133806,0.083358934,0.517765907,0.211449347,0.033927821,0.008002416,-115.001,8.114655724
0.254403093,0.013892386,0.366303723,0.136133243,0.156490018,0.044849546,0.027927992,23.80721,8.267679677
0.202865714,0.025391378,0.365390642,0.296459966,0.054368812,0.03207734,0.023446148,16.54399,8.679649488
0.030328106,0.023376584,0.283583841,0.547625971,0.065279104,0.030246913,0.019559481,-53.26358,8.772320717
0.248023982,0.011453225,0.48832582,0.151769452,0.029817041,0.02427364,0.046336839,62.94787,8.752828662
0.056531289,0.013997349,0.364109494,0.427461175,0.088936661,0.043068112,0.005895919,-23.4037,8.805125553
0.076199064,0.029571481,0.642181842,0.147779475,0.046649706,0.039611255,0.018007177,89.17615,9.100402616
0.223744039,0.012219722,0.527494894,0.053627052,0.105110068,0.04387579,0.033928434,58.50924,8.584907434
0.508249602,0.015493889,0.2529149,0.136166335,0.047250004,0.015749806,0.024175464,119.43955,8.3638755
0.500927338,0.012087996,0.168143498,0.161534379,0.127428539,0.021277737,0.008600512,-50.439,8.124040522
0.159597775,0.008850129,0.266305896,0.440115035,0.08025932,0.043246536,0.001625309,-43.57929,8.665491905
0.200270633,0.012735615,0.169446713,0.478007735,0.097772237,0.025870359,0.015896709,-60.5268,8.451526458
0.067106049,0.008242123,0.730597263,0.050296985,0.075587559,0.035487619,0.032682403,113.38687,9.082199406
0.307130443,0.032210579,0.230642676,0.310037306,0.090521874,0.021177613,0.008279508,-4.84214,8.453137944
0.071185334,0.018785099,0.418480986,0.376560117,0.054795874,0.032597357,0.027595232,14.52643,8.849377003
0.053784765,0.021528297,0.49728592,0.330738915,0.032237112,0.035376798,0.029048193,43.98281,8.987936875
0.255096831,0.010335336,0.579443182,0.037733661,0.042557684,0.055028355,0.019804952,76.66728,8.837059504
0.270538501,0.020484723,0.360193207,0.223578884,0.053183401,0.026993765,0.045027519,48.82495,8.510994883
0.205060741,0.003505517,0.460426992,0.119136982,0.128050944,0.044688389,0.039130436,41.56173,8.450666222
0.163546276,0.014853163,0.428293751,0.208312651,0.104177224,0.04270051,0.038116425,24.61423,8.523008887
0.261814254,0.014486791,0.535163994,0.070864325,0.045990812,0.020886952,0.050792871,77.87781,8.718098679
0.132225973,0.02782097,0.187775204,0.548079972,0.049553889,0.048195069,0.006348924,-56.08817,8.620371813
0.165652207,0.025893004,0.33610982,0.400168982,0.029227214,0.033624621,0.009324152,-8.47375,8.840546567
0.253845935,0.035102637,0.136922796,0.415806086,0.124079449,0.025017103,0.009225994,-76.66728,8.285208864
0.414459565,0.022822075,0.420346947,0.019158799,0.064163034,0.024633933,0.034415646,85.54454,8.462724513
0.007229544,0.027796477,0.164107525,0.694154097,0.054838311,0.030791306,0.02108274,-110.15877,8.68710843
0.363556977,0.023727073,0.140508239,0.217340829,0.212932097,0.039437096,0.002497689,-123.47467,7.917966307
0.217792138,0.01695154,0.26469491,0.253371554,0.178748961,0.046994622,0.021446274,-22.59667,8.160096668
0.083158975,0.022860837,0.284851335,0.41317676,0.138922543,0.03179847,0.02523108,-35.10554,8.460622697
0.464134624,0.022390011,0.302540232,0.075078263,0.063227012,0.045172271,0.027457586,98.05341,8.258509941
0.090367274,0.009117212,0.245352654,0.372027881,0.227387971,0.034358941,0.021388067,-36.71959,8.188822877
0.02529435,0.027496504,0.223392132,0.622837906,0.055418621,0.03864806,0.006912428,-80.7024,8.780782112
0.035326524,0.012395883,0.337024252,0.500962107,0.070215628,0.029542197,0.014533408,-36.31608,8.860889833
0.089275285,0.008778413,0.394700901,0.291627535,0.134718696,0.043375972,0.037523199,12.91238,8.485069629
0.349149656,0.032105798,0.338022017,0.147819321,0.062974216,0.041684858,0.028244134,64.56192,8.399533881
0.133960569,0.006704698,0.534404007,0.065166715,0.213258167,0.039999225,0.006506619,43.17578,8.548222927
0.12660228,0.023180318,0.294870406,0.400138456,0.086767508,0.030728404,0.037712628,-16.54399,8.512415582
0.070360406,0.014195424,0.521154029,0.220756849,0.064059458,0.058469087,0.051004746,61.33382,8.690319568
0.081395261,0.01612097,0.038193423,0.585717286,0.216169532,0.04296742,0.01943611,-143.24676,7.987561304
0.085987709,0.014753648,0.458946467,0.224177596,0.137152717,0.043679157,0.035302707,33.4915,8.54546045
0.465728753,0.024145432,0.335792736,0.033794105,0.093719671,0.020696104,0.026123199,85.94805,8.301090496
0.453728944,0.023022829,0.335225002,0.119937356,0.029297345,0.033471506,0.005317018,97.65,8.581770233
0.110046072,0.026381236,0.539400217,0.237586361,0.044040673,0.033620119,0.008925321,56.088,9.056437243
0.171697812,0.028858627,0.439527386,0.180348734,0.096431243,0.043966049,0.039170148,38.334,8.509933498
0.264453194,0.029782994,0.219803491,0.26345343,0.19179521,0.022250763,0.008460919,-59.72,8.180630122
0.014907832,0.018581264,0.423114335,0.39192532,0.08164856,0.033359162,0.036463527,19.772,8.773880485
0.135233539,0.002403456,0.619119136,0.062078985,0.103127659,0.043435965,0.034601259,81.106,8.788344285
0.50103257,0.00824481,0.172760532,0.156390612,0.119774158,0.031043773,0.010753545,-27.842,8.107219506
0.267035397,0.036267111,0.275389911,0.328507466,0.039383541,0.035667322,0.017749251,18.158,8.568504866
0.313925995,0.017216851,0.258268786,0.168297374,0.179012143,0.037459889,0.025818963,-17.351,8.068119335
0.522928765,0.032718878,0.23120007,0.074822681,0.102874579,0.020403856,0.015051171,-20.176,8.162287362
0.217521316,0.012498893,0.537888462,0.050518969,0.084271073,0.063143828,0.034157458,64.158,8.585036072
0.009633686,0.01442455,0.277378352,0.594288697,0.045795442,0.032380759,0.026098515,-48.825,8.815395123
0.115261498,0.00874684,0.266149753,0.474368336,0.086187353,0.042082839,0.00720338,-56.492,8.663280871
0.009478326,0.024302247,0.348753916,0.557256923,0.027051239,0.00620933,0.026948019,-27.842,9.022991945
0.186571997,0.012539445,0.101974474,0.561565964,0.08225568,0.041433654,0.013658786,-84.334,8.395869215
0.135464693,0.009354794,0.465214206,0.110440585,0.227384915,0.032304267,0.01983654,29.86,8.380648872
0.265213249,0.01131276,0.073228661,0.373866056,0.228571523,0.03291081,0.014896941,-132.352,7.878650437
0.053516234,0.017020502,0.457905479,0.221321725,0.21363205,0.001007175,0.035596836,25.825,8.511842384
0.485482341,0.024273967,0.36173837,0.019156128,0.056585682,0.019418686,0.033344827,111.773,8.380207352
0.219700565,0.032250302,0.224980465,0.345957383,0.125962267,0.039222085,0.011926933,-33.895,8.334442557
0.055121407,0.012511066,0.448102547,0.268928838,0.139931247,0.043788044,0.031616851,25.421,8.583311985
0.078443174,0.01926452,0.383442255,0.409659128,0.069552951,0.030531661,0.00910631,-8.877,8.881046675
0.106824639,0.007697795,0.252549083,0.402218271,0.174139575,0.034433568,0.02213707,-48.421,8.337353446
0.222595384,0.029732021,0.363752298,0.299840532,0.020909965,0.029772812,0.033396988,40.351,8.699489801
0.00701033,0.014565371,0.622040653,0.205300297,0.071510876,0.043966252,0.035606221,89.58,8.981864619
0.252965748,0.026084651,0.368028512,0.132213353,0.1849564,0.004588057,0.031163279,18.158,8.30269236
0.111072795,0.032989237,0.251786064,0.311059228,0.274908035,0.010972022,0.00721262,-58.913,8.162846891
0.04024438,0.014700158,0.520662046,0.246582303,0.138076249,0.003410383,0.036324483,49.228,8.805200191
0.435214672,0.014360136,0.252786062,0.131956701,0.104074257,0.042862627,0.018745544,31.474,8.192704566
0.417439783,0.033830687,0.175975283,0.251668681,0.086865027,0.021974722,0.012245817,-27.842,8.268905255
0.090348444,0.026061017,0.466033155,0.337417141,0.034503829,0.03710615,0.008530263,25.018,9.020445003
0.347520188,0.028493586,0.065361029,0.390307515,0.138821877,0.021260815,0.00823499,-109.755,8.109934838
0.12548006,0.028004244,0.384338993,0.324646369,0.094331497,0.028236877,0.01496196,0.404,8.717136686
0.146654597,0.009823236,0.359087061,0.295601422,0.140301881,0.011772284,0.036759519,-4.842,8.504234099
0.042993849,0.018641303,0.361632208,0.37416382,0.133541213,0.032068896,0.036958711,-4.035,8.530704264
0.37598325,0.023299169,0.270568663,0.224512641,0.058866689,0.028580383,0.018189205,52.86,8.447930246
0.405000035,0.013849748,0.275561215,0.10504813,0.129713161,0.033011831,0.037815881,52.05305,8.0947796
0.085987709,0.014753648,0.458946467,0.224177596,0.137152717,0.043679157,0.035302707,33.49149,8.54546045
0.154842836,0.021300605,0.252558946,0.452098682,0.074245506,0.033872628,0.011080797,-38.33364,8.630403088
0.032288076,0.000803503,0.123745471,0.734533863,0.048872827,0.034549202,0.025207059,-127.50979,8.653792755
0.314734456,0.018766853,0.433983712,0.116783374,0.064519859,0.018727234,0.032484512,68.19352,8.618339965
0.483147178,0.029451546,0.29170175,0.08006387,0.04923755,0.039336321,0.027061786,43.57929,8.282222839
0.114356693,0.0070209,0.5087537,0.266555285,0.010160145,0.039047786,0.054105491,58.91276,8.869050682
0.219118513,0.013879323,0.414123463,0.185135999,0.12532258,0.002114393,0.040305729,25.82477,8.540986618
0.16171226,0.012267619,0.52121771,0.03876068,0.195738193,0.041267219,0.02903632,52.86007,8.408468846
0.58365246,0.018613911,0.120106644,0.1951854,0.023732473,0.041117746,0.017591367,27.0353,8.158009766
0.205060741,0.003505517,0.460426992,0.119136982,0.128050944,0.044688389,0.039130436,41.56174,8.450666222
0.134239582,0.008338211,0.432407391,0.163581582,0.216093522,0.044521563,0.00081815,10.0878,8.450215678
0.336719021,0.023758279,0.361880935,0.156577287,0.047680377,0.036925265,0.036458836,54.0706,8.468150149
0.016506159,0.013268661,0.423718139,0.359915574,0.134743047,0.041836546,0.010011874,5.64917,8.749028089
0.163696479,0.014588301,0.242312637,0.318544399,0.215922969,0.03329039,0.011644826,-47.2109,8.198640142
0.250904523,0.01627364,0.405775362,0.219523843,0.026748467,0.044829651,0.035944515,47.61442,8.647092473
0.003584758,0.009795423,0.686472043,0.179994813,0.048597561,0.044045855,0.027509547,117.42199,9.176263054
0.508249602,0.015493889,0.2529149,0.136166335,0.047250004,0.015749806,0.024175464,116.21145,8.3638755
0.372216473,0.024882761,0.194991173,0.315325847,0.029530041,0.038641432,0.024412274,56.89519,8.383379692
0.114697092,0.016392577,0.602034218,0.123707544,0.093540944,0.030204556,0.01942307,73.84269,8.936572505
0.186898725,0.018463598,0.614649572,0.102924395,0.017381312,0.037032254,0.022650145,77.07079,9.054649838
0.169080004,0.021740933,0.521088417,0.162079932,0.060794727,0.014470984,0.050745004,62.54436,8.763788415
0.103261933,0.028010424,0.29018623,0.538863924,0.013553766,0.019801307,0.006322417,-37.93013,8.97310243
0.127352627,0.003622367,0.427614244,0.192629532,0.157491508,0.043775143,0.047514579,28.64935,8.360354313
0.047842113,0.005785024,0.516000173,0.357074009,0.004769242,0.03916339,0.029366049,39.54418,9.109430432
0.019993498,0.007172335,0.681354122,0.095227241,0.143173125,0.024326082,0.028753597,98.86044,8.947670669
0.2073876,0.013474476,0.38740833,0.221877315,0.080635962,0.049384687,0.03983163,29.45638,8.474635364
0.216977482,0.008116927,0.392817993,0.141780149,0.211161442,0.027724173,0.001421834,-3.228,8.406694635
0.464134624,0.022390011,0.302540232,0.075078263,0.063227012,0.045172271,0.027457586,98.053,8.258509941
0.622481204,0.029665874,0.157477233,0.089843039,0.050334879,0.022474343,0.027723428,21.386,8.068421704
0.313752634,0.022886842,0.122494981,0.470901655,0.018677457,0.033856329,0.017430103,35.913,8.466930367
0.137888733,0.018571179,0.346467335,0.326161037,0.080261769,0.051161037,0.039488911,4.035,8.489073332
0.156611653,0.003388286,0.463421684,0.096659813,0.190178834,0.053016327,0.036723403,39.544,8.297091231
0.235088167,0.010049164,0.411002727,0.131650625,0.117033612,0.057003971,0.038171734,40.755,8.347669108
0.09589669,0.012213292,0.033978624,0.738679847,0.05597797,0.032085017,0.031168559,-123.878,8.430370009
0.251710365,0.01711277,0.515364772,0.117886968,0.023981492,0.046700576,0.027243057,69.001,8.807223745
0.031625632,0.014024473,0.653653834,0.041832478,0.190745064,0.040895478,0.027223041,78.685,8.694823906
0.316358977,0.014671466,0.313532342,0.205875294,0.104256902,0.034172737,0.011132281,20.983,8.451575084
0.413404489,0.014847376,0.417941504,0.006647159,0.126333784,0.002316903,0.018508785,57.702,8.475520589
0.113868986,0.025683568,0.534690501,0.215937704,0.030647815,0.030408303,0.048763122,53.264,8.863298981
0.518978242,0.013888016,0.167544764,0.209128332,0.03444553,0.034503501,0.021511615,123.878,8.250370206
0.164281364,0.028346746,0.245702615,0.473819247,0.02387528,0.039007574,0.024967174,-22.193,8.647268579
0.176886465,0.012899495,0.55731622,0.040158691,0.15024479,0.033572953,0.028921386,59.316,8.596076267
0.179097619,0.005006471,0.453568158,0.199025036,0.07211894,0.043828946,0.04735483,46.807,8.588656013
0.362139789,0.019534779,0.329897309,0.20062107,0.026585384,0.040919367,0.020302302,54.071,8.56344053
0.073386253,0.014714563,0.34391611,0.338789052,0.144749946,0.047072223,0.037371853,-5.649,8.394330883
0.062383209,0.00670024,0.541646251,0.275923109,0.020299031,0.035872542,0.057175617,66.983,8.91842159
0.115675347,0.013282977,0.417608318,0.220856604,0.168630636,0.030901209,0.033044908,22.193,8.447600816
0.281250753,0.013277832,0.412487599,0.192803502,0.003368137,0.056268939,0.040543237,61.334,8.626241584
0.133344946,0.013925466,0.463222854,0.331087054,0.015587812,0.001584268,0.041247598,36.72,9.001440862
0.129461791,0.000711911,0.264814794,0.437140176,0.101531714,0.042804181,0.023535433,-43.176,8.516904717
0.096009022,0.024169284,0.231233602,0.556489636,0.031155547,0.036539206,0.024403703,-45.597,8.700840329
0.078517694,0.01680852,0.626303055,0.136303504,0.067405528,0.047166081,0.027495619,82.316,8.958313708
0.061442956,0.014078819,0.486227973,0.175203907,0.196053321,0.038980503,0.028012521,37.93,8.484470278
0.102939261,0.014970514,0.671511301,0.079391744,0.049212791,0.04602835,0.03594604,97.65,8.991203008
0.390334734,0.011174702,0.142389277,0.224861258,0.185901816,0.043768272,0.001569941,-103.299,7.987506957
0.76443208,0.017599174,0.149537403,0.00097085,0.022467548,0.027141434,0.01785151,-315.143,8.066829526
0.226688074,0.008405518,0.300630632,0.1774252,0.219636242,0.044165832,0.023048502,-8.877,8.083268456
0.350009081,0.028376837,0.405967012,0.071519785,0.064203482,0.048559754,0.031364049,63.755,8.424170501
0.098407274,0.021597584,0.580422513,0.181198776,0.059725268,0.014825111,0.043823474,72.229,8.937402979
0.415061532,0.013952784,0.283457987,0.138587891,0.063204139,0.055359496,0.030376171,70.211,8.24718346
0.205060741,0.003505517,0.460426992,0.119136982,0.128050944,0.044688389,0.039130436,42.36876,8.450666222
0.164281364,0.028346746,0.245702615,0.473819247,0.02387528,0.039007574,0.024967174,-14.52643,8.647268579
0.028825045,0.006597969,0.683813267,0.076146475,0.165367025,0.029959622,0.009290596,87.15859,8.970109136
0.254403093,0.013892386,0.366303723,0.136133243,0.156490018,0.044849546,0.027927992,20.57911,8.267679677
