D1,D2,D4,D6,D8,D9,D10,D12,D15,D16,D18,D19,D20,D21,D24,D25,D26,D27,D31,D32,D33,D34,SFE
-0.905714286,-0.235714286,1.724285716,51.18957143,694.0857143,1458.76,24.95714286,71.14285714,160.4285714,212.5714286,11.60913878,9.224081633,0.014334694,0.018053061,4.979591837,4088.67551,156416.6199,0.925306122,2.367700014,21034.53061,6372.530612,9010.244898,51.64953462
-1.329041122,0.309953679,1.846128345,56.73474849,737.5726312,1498.927163,25.28154144,77.23502769,201.2186388,196.6484077,13.75601113,5.592469023,0.006940387,0.008799356,2.413815493,1522.585138,33606.60478,0.592107752,0.698365548,16407.12988,3152.639615,7653.033048,26.63179136
-0.243460272,0.592230465,1.831113179,55.87855957,721.807307,1539.226421,25.2744507,80.82265952,174.5497831,209.6441073,13.98184193,7.494017732,0.010865826,0.011568831,3.574099492,2083.085474,53549.213,1.043098025,0.888202195,16111.73634,5230.550933,9000.139452,47.89687317
1.100699989,2.067335825,1.874092175,56.89201011,730.6222703,1442.478235,25.70454466,74.9443722,253.0492287,168.0854549,5.286218997,3.678665719,0.005513936,0.007628942,2.75430201,1471.7802,36960.77038,0.529616325,0.993289637,5943.818481,1780.491825,2672.264483,134.4017734
-0.671742775,1.019289745,1.849178842,55.89435293,730.492817,1469.156829,25.45599607,76.95125401,188.7018405,193.0851723,16.66747115,6.754084123,0.007205156,0.009168268,3.329732371,1990.299511,49531.26119,0.680323556,1.110028819,16136.4603,3881.776528,7841.512284,70.89705653
-0.27568365,0.726304823,1.849860313,56.67826214,732.1945022,1496.733011,25.2728366,76.85391565,226.0803039,187.6729655,8.790599245,5.552094741,0.008291571,0.009406383,2.903962967,1830.710063,42974.13781,0.720342818,0.887300776,11732.99685,3247.186889,5960.279075,14.21169229
-4.035375246,-0.650371199,1.821751511,55.35531508,741.4149818,1494.450282,25.28182267,77.89729554,99.80656962,226.581065,20.339041,6.184354634,0.005833165,0.008482417,2.301092961,1734.947242,38922.05214,0.390351191,0.827755271,19170.31221,3198.22498,8491.532146,94.06671497
-2.30767761,-0.207816536,1.848304395,56.94035871,742.9052065,1522.648578,25.19331172,78.63356417,171.6777064,207.7514852,15.99954082,5.102718854,0.005938829,0.006125471,1.821278973,1198.814102,22151.0797,0.505562127,0.430819538,18799.6345,3168.764537,8834.758666,17.11697857
-2.577411882,-0.08475629,1.836874853,55.86746877,736.8597752,1512.708376,25.32958472,78.00560706,128.730466,216.344656,21.70223345,7.063266325,0.007754067,0.00771178,2.67301445,1728.547683,37547.44878,0.529371157,0.815474411,18793.68162,3692.143932,9034.517134,86.21437169
-3.382388214,-0.588322104,1.828162653,55.87839384,740.6975645,1514.357362,25.20842445,78.28434562,124.0146658,221.5462114,19.03683883,5.686593524,0.006685657,0.008082394,2.234687023,1650.02477,34741.07925,0.454545347,0.707365854,19983.61583,3329.96009,9051.612254,58.58994087
