Fe,Mn,Ni,Co,Cr,V,Al,SFE
0.088969711,0.025354784,0.391233679,0.381956811,0.061547933,0.030592228,0.020344855,-2.825
0.032874607,0.012004543,0.081539388,0.705818035,0.095522228,0.040665516,0.031575683,-133.159
0.205432247,0.011620113,0.115839067,0.565680681,0.049831384,0.032589395,0.019007113,-52.457
0.059221112,0.01481307,0.54818408,0.086432273,0.246173361,0.032629773,0.01254633,43.579
0.046321472,0.014740861,0.465495453,0.318867166,0.088405559,0.043710569,0.02245892,27.439
0.352766038,0.01241352,0.302436589,0.167426883,0.127321243,0.029837513,0.007798214,6.86
0.479664397,0.027415792,0.222482843,0.233761727,0.004206728,0.024339757,0.008128755,99.667
0.252436918,0.015026348,0.458265323,0.01295407,0.204010504,0.031255519,0.026051317,39.544
0.074726911,0.013722099,0.424770256,0.386787063,0.042407056,0.03359267,0.023993945,7.667
0.185651939,0.028299183,0.540253302,0.122598896,0.074764982,0.030290082,0.018141616,60.123
0.349149656,0.032105798,0.338022017,0.147819321,0.062974216,0.041684858,0.028244134,62.544
0.246084522,0.012240791,0.253061633,0.335056613,0.104501048,0.03258446,0.016470933,-28.246
0.096208843,0.014591655,0.347910994,0.462271711,0.032519084,0.015145701,0.031352012,-15.333
0.080373639,0.029990098,0.286395158,0.402497276,0.157979276,0.017623237,0.025141317,-37.527
0.547092171,0.014426287,0.134543646,0.155595135,0.08764811,0.031775759,0.028918891,6.456
0.035336113,0.016513945,0.226093508,0.489783908,0.178767508,0.029720716,0.023784303,-65.772
0.460595656,0.004565762,0.35951156,0.00149088,0.124383582,0.043042407,0.006410153,62.141
0.062773398,0.00150408,0.43704788,0.248187749,0.179230029,0.048277744,0.02297912,18.158
0.12660228,0.023180318,0.294870406,0.400138456,0.086767508,0.030728404,0.037712628,-16.544
0.163696479,0.014588301,0.242312637,0.318544399,0.215922969,0.03329039,0.011644826,-48.018
0.390947304,0.026107739,0.301281186,0.081434133,0.137429895,0.03670963,0.026090113,19.369
0.189245896,0.013247673,0.223179968,0.477418512,0.049783464,0.041126655,0.005997833,-25.018
0.349875384,0.017248658,0.238761868,0.247088233,0.084969728,0.035738856,0.026317272,25.018
0.380451078,0.023269494,0.138460534,0.306504805,0.137126489,0.012115848,0.002071752,-52.053
0.026740607,0.013307418,0.344447649,0.447788634,0.115038535,0.044134323,0.008542834,-33.491
0.094889078,0.015849539,0.681783737,0.121465336,0.011403639,0.043367792,0.031240879,103.299
0.159597775,0.008850129,0.266305896,0.440115035,0.08025932,0.043246536,0.001625309,-43.176
0.199747178,0.016207865,0.493929106,0.215262582,0.004878326,0.064884072,0.005090871,40.755
0.341069654,0.015529637,0.199518645,0.17348881,0.234328257,0.030124076,0.00594092,-86.352
0.275484884,0.014099984,0.343005694,0.271510843,0.085842818,0.005554977,0.0045008,6.86
0.302545073,0.019356253,0.150827475,0.41620661,0.082881835,0.019467638,0.008715116,-15.333
0.197035518,0.018126121,0.401549822,0.257705708,0.057103124,0.046520734,0.021958973,18.965
0.414459565,0.022822075,0.420346947,0.019158799,0.064163034,0.024633933,0.034415646,85.545
0.675937359,0.023611641,0.166803255,0.034859461,0.052366837,0.03049664,0.015924808,-136.387
0.119948719,0.027449934,0.186092613,0.524822036,0.084547529,0.047717077,0.009422091,-75.457
0.102900132,0.033230527,0.283902882,0.532388192,0.017084113,0.02238446,0.008109692,-32.281
0.249536286,0.014602118,0.400844544,0.1560784,0.152762268,0.018696894,0.007479491,10.088
0.027867609,0.015756257,0.352771065,0.370049466,0.154405459,0.049035948,0.030114195,-5.246
0.062518223,0.005494022,0.241539982,0.593411418,0.050622591,0.033339651,0.013074113,-77.878
0.140361768,0.005133806,0.083358934,0.517765907,0.211449347,0.033927821,0.008002416,-115.001
0.254403093,0.013892386,0.366303723,0.136133243,0.156490018,0.044849546,0.027927992,23.80721
0.202865714,0.025391378,0.365390642,0.296459966,0.054368812,0.03207734,0.023446148,16.54399
0.030328106,0.023376584,0.283583841,0.547625971,0.065279104,0.030246913,0.019559481,-53.26358
0.248023982,0.011453225,0.48832582,0.151769452,0.029817041,0.02427364,0.046336839,62.94787
0.056531289,0.013997349,0.364109494,0.427461175,0.088936661,0.043068112,0.005895919,-23.4037
0.076199064,0.029571481,0.642181842,0.147779475,0.046649706,0.039611255,0.018007177,89.17615
0.223744039,0.012219722,0.527494894,0.053627052,0.105110068,0.04387579,0.033928434,58.50924
0.508249602,0.015493889,0.2529149,0.136166335,0.047250004,0.015749806,0.024175464,119.43955
0.500927338,0.012087996,0.168143498,0.161534379,0.127428539,0.021277737,0.008600512,-50.439
0.159597775,0.008850129,0.266305896,0.440115035,0.08025932,0.043246536,0.001625309,-43.57929
0.200270633,0.012735615,0.169446713,0.478007735,0.097772237,0.025870359,0.015896709,-60.5268
0.067106049,0.008242123,0.730597263,0.050296985,0.075587559,0.035487619,0.032682403,113.38687
0.307130443,0.032210579,0.230642676,0.310037306,0.090521874,0.021177613,0.008279508,-4.84214
0.071185334,0.018785099,0.418480986,0.376560117,0.054795874,0.032597357,0.027595232,14.52643
0.053784765,0.021528297,0.49728592,0.330738915,0.032237112,0.035376798,0.029048193,43.98281
0.255096831,0.010335336,0.579443182,0.037733661,0.042557684,0.055028355,0.019804952,76.66728
0.270538501,0.020484723,0.360193207,0.223578884,0.053183401,0.026993765,0.045027519,48.82495
0.205060741,0.003505517,0.460426992,0.119136982,0.128050944,0.044688389,0.039130436,41.56173
0.163546276,0.014853163,0.428293751,0.208312651,0.104177224,0.04270051,0.038116425,24.61423
0.261814254,0.014486791,0.535163994,0.070864325,0.045990812,0.020886952,0.050792871,77.87781
0.132225973,0.02782097,0.187775204,0.548079972,0.049553889,0.048195069,0.006348924,-56.08817
0.165652207,0.025893004,0.33610982,0.400168982,0.029227214,0.033624621,0.009324152,-8.47375
0.253845935,0.035102637,0.136922796,0.415806086,0.124079449,0.025017103,0.009225994,-76.66728
0.414459565,0.022822075,0.420346947,0.019158799,0.064163034,0.024633933,0.034415646,85.54454
0.007229544,0.027796477,0.164107525,0.694154097,0.054838311,0.030791306,0.02108274,-110.15877
0.363556977,0.023727073,0.140508239,0.217340829,0.212932097,0.039437096,0.002497689,-123.47467
0.217792138,0.01695154,0.26469491,0.253371554,0.178748961,0.046994622,0.021446274,-22.59667
0.083158975,0.022860837,0.284851335,0.41317676,0.138922543,0.03179847,0.02523108,-35.10554
0.464134624,0.022390011,0.302540232,0.075078263,0.063227012,0.045172271,0.027457586,98.05341
